FIXED PANEL — CANDIDATE (F1/F2 one-source rewire, 2026-07-05). Supersedes the pre-scrub v2.4 baked panel.
A cold reload of THIS candidate MUST reproduce every EV exactly. Values shifted from the baked baseline by the
phantom scrub (era/PVC ripple + MSD/IRE pick_equiv) and the Kako single-source data fix; F1 makes the board == engine.

player                pos       pk  ns     EV   note
Nick Daicos           MID        4   5   7002   proven star
Marcus Bontempelli    MID        4  13   3080   proven
Harry Sheezel         MID        3   4   7163   proven young (drafted GEN_FWD -> plays MID; switcher)
Max Gawn              RUC       33  14   2120   proven ruck
Harley Reid           MID        1   3   3553   first-year value, pk1 (NOT cratered)
Josh Ward             MID        7   5   1634   moderate pedigree (the "Ward" case; book == board now)
Darcy Moore           KEY_DEF    8  11    200   decliner the shed fired on
Taylor Goad           RUC       20   0    761   sat-out ruck -> no-games anchor
Josh Smillie          MID        7   0    993   sat-out mid -> no-games anchor
Will Green            RUC       16   0    539   sat-out ruck -> no-games anchor
